scenario,region,period,technology,emission type,electricity production [EJ/yr],specific emissions [gCO2eq/kWh]
ADV_WP5_P240_FullTech,EUR,2010,Coal|w/o CCS,Operation,3.004,30.423920825074607
ADV_WP5_P240_FullTech,EUR,2010,Coal|w/o CCS,upstream CH4,3.004,28.163931286067925
ADV_WP5_P240_FullTech,EUR,2010,Gas|w/o CCS,Construction,3.107,0.14601040229139642
ADV_WP5_P240_FullTech,EUR,2010,Gas|w/o CCS,direct fossil CO2 (non-CCS),3.107,339.1438686836176
ADV_WP5_P240_FullTech,EUR,2010,Gas|w/o CCS,Operation,3.107,18.62634680374169
ADV_WP5_P240_FullTech,EUR,2010,Gas|w/o CCS,upstream CH4,3.107,37.865896471678745
ADV_WP5_P240_FullTech,EUR,2010,Nuclear,Construction,3.552,1.5685630817554566
ADV_WP5_P240_FullTech,EUR,2010,Nuclear,Operation,3.552,7.05699978403449
ADV_WP5_P240_FullTech,EUR,2010,Solar|CSP,Construction,0.004394,15.688492560776416
ADV_WP5_P240_FullTech,EUR,2010,Solar|CSP,Operation,0.004394,0.9802585396262833
ADV_WP5_P240_FullTech,EUR,2010,Solar|PV,Construction,0.1696,34.57865064316213
ADV_WP5_P240_FullTech,EUR,2010,Solar|PV,Operation,0.1696,0.06979790447901946
ADV_WP5_P240_FullTech,EUR,2010,Wind,Construction,0.8143,6.153643511233396
ADV_WP5_P240_FullTech,EUR,2010,Wind,Operation,0.8143,0.6740436775492608
ADV_WP5_P240_FullTech,IND,2010,Biomass|w/o CCS,Construction,7.255e-6,2.529518531212721
ADV_WP5_P240_FullTech,IND,2010,Biomass|w/o CCS,Operation,7.255e-6,35.39484039345817
ADV_WP5_P240_FullTech,IND,2010,Coal|w/o CCS,Construction,2.327,0.39091663533724075
ADV_WP5_P240_FullTech,IND,2010,Coal|w/o CCS,direct fossil CO2 (non-CCS),2.327,1223.8762354963471
ADV_WP5_P240_FullTech,IND,2010,Coal|w/o CCS,Operation,2.327,34.54696869879005
ADV_WP5_P240_FullTech,IND,2010,Coal|w/o CCS,upstream CH4,2.327,30.319586628970324
ADV_WP5_P240_FullTech,IND,2010,Gas|w/o CCS,Construction,0.3525,0.23792142898895713
ADV_WP5_P240_FullTech,IND,2010,Gas|w/o CCS,direct fossil CO2 (non-CCS),0.3525,469.27659574468095
ADV_WP5_P240_FullTech,IND,2010,Gas|w/o CCS,Operation,0.3525,23.410153132883867
ADV_WP5_P240_FullTech,IND,2010,Gas|w/o CCS,upstream CH4,0.3525,57.84250141167819
ADV_WP5_P240_FullTech,IND,2010,Nuclear,Construction,0.07829,3.1438447825992464
ADV_WP5_P240_FullTech,IND,2010,Nuclear,Operation,0.07829,14.489945576019581
ADV_WP5_P240_FullTech,IND,2010,Solar|CSP,Construction,1.82e-4,22.20287772542916
ADV_WP5_P240_FullTech,IND,2010,Solar|CSP,Operation,1.82e-4,1.171566141049191
ADV_WP5_P240_FullTech,IND,2010,Solar|PV,Construction,0.002644,62.72554755739547
ADV_WP5_P240_FullTech,IND,2010,Solar|PV,Operation,0.002644,0.09645540599962969
ADV_WP5_P240_FullTech,IND,2010,Wind,Construction,0.1157,7.069287093827099
ADV_WP5_P240_FullTech,IND,2010,Wind,Operation,0.1157,0.642944122870628
ADV_WP5_P240_FullTech,JPN,2010,Biomass|w/o CCS,Construction,0.001475,2.1240170531547586
ADV_WP5_P240_FullTech,JPN,2010,Biomass|w/o CCS,Operation,0.001475,42.843902273046886
ADV_WP5_P240_FullTech,JPN,2010,Coal|w/o CCS,Construction,0.9467,0.23634082711968377
ADV_WP5_P240_FullTech,JPN,2010,Coal|w/o CCS,direct fossil CO2 (non-CCS),0.9467,802.746382169642
ADV_WP5_P240_FullTech,JPN,2010,Coal|w/o CCS,Operation,0.9467,24.26268299994126
ADV_WP5_P240_FullTech,JPN,2010,Coal|w/o CCS,upstream CH4,0.9467,35.38715236098703
ADV_WP5_P240_FullTech,JPN,2010,Gas|w/o CCS,Construction,1.186,0.15735207895816972
ADV_WP5_P240_FullTech,JPN,2010,Gas|w/o CCS,direct fossil CO2 (non-CCS),1.186,426.779089376054
ADV_WP5_P240_FullTech,JPN,2010,Gas|w/o CCS,Operation,1.186,21.9509878991508
ADV_WP5_P240_FullTech,JPN,2010,Gas|w/o CCS,upstream CH4,1.186,16.824854750022176
ADV_WP5_P240_FullTech,JPN,2010,Nuclear,Construction,1.107,1.7925012173904997
ADV_WP5_P240_FullTech,JPN,2010,Nuclear,Operation,1.107,8.991213040227052
ADV_WP5_P240_FullTech,JPN,2010,Solar|PV,Construction,0.0167,52.55554564770463
ADV_WP5_P240_FullTech,JPN,2010,Solar|PV,Operation,0.0167,0.1168986316574958
ADV_WP5_P240_FullTech,JPN,2010,Wind,Construction,0.02031,5.160555826267921
ADV_WP5_P240_FullTech,JPN,2010,Wind,Operation,0.02031,0.5708864057867203
ADV_WP5_P240_FullTech,LAM,2010,Biomass|w/o CCS,Construction,7.255e-6,2.0416390016678685
ADV_WP5_P240_FullTech,LAM,2010,Biomass|w/o CCS,Operation,7.255e-6,38.576082940442575
ADV_WP5_P240_FullTech,LAM,2010,Coal|w/o CCS,Construction,0.2145,0.2166945796640238
ADV_WP5_P240_FullTech,LAM,2010,Coal|w/o CCS,direct fossil CO2 (non-CCS),0.2145,916.8671328671329
ADV_WP5_P240_FullTech,LAM,2010,Coal|w/o CCS,Operation,0.2145,23.403539307712748
ADV_WP5_P240_FullTech,LAM,2010,Coal|w/o CCS,upstream CH4,0.2145,61.54076688964513
ADV_WP5_P240_FullTech,LAM,2010,Gas|w/o CCS,Construction,1.551,0.13461894256024684
ADV_WP5_P240_FullTech,LAM,2010,Gas|w/o CCS,direct fossil CO2 (non-CCS),1.551,471.6441005802708
ADV_WP5_P240_FullTech,LAM,2010,Gas|w/o CCS,Operation,1.551,21.732092555640083
ADV_WP5_P240_FullTech,LAM,2010,Gas|w/o CCS,upstream CH4,1.551,84.95413494193686
ADV_WP5_P240_FullTech,LAM,2010,Nuclear,Construction,0.1076,1.510176714349597
ADV_WP5_P240_FullTech,LAM,2010,Nuclear,Operation,0.1076,8.748404367831151
ADV_WP5_P240_FullTech,LAM,2010,Solar|PV,Construction,0.002651,29.085305776287303
ADV_WP5_P240_FullTech,LAM,2010,Solar|PV,Operation,0.002651,0.07286165328645705
ADV_WP5_P240_FullTech,LAM,2010,Wind,Construction,0.01955,7.439904818975015
ADV_WP5_P240_FullTech,LAM,2010,Wind,Operation,0.01955,0.838902871046325
ADV_WP5_P240_FullTech,MEA,2010,Biomass|w/o CCS,Construction,7.172e-6,2.3078978064466003
ADV_WP5_P240_FullTech,MEA,2010,Biomass|w/o CCS,Operation,7.172e-6,43.87831415576043
ADV_WP5_P240_FullTech,MEA,2010,Coal|w/o CCS,Construction,0.371,0.26009108073918247
ADV_WP5_P240_FullTech,MEA,2010,Coal|w/o CCS,direct fossil CO2 (non-CCS),0.371,1059.622641509434
ADV_WP5_P240_FullTech,MEA,2010,Coal|w/o CCS,Operation,0.371,24.49045569744169
ADV_WP5_P240_FullTech,MEA,2010,Coal|w/o CCS,upstream CH4,0.371,88.21391899526893
ADV_WP5_P240_FullTech,MEA,2010,Gas|w/o CCS,Construction,2.679,0.19275702523762311
ADV_WP5_P240_FullTech,MEA,2010,Gas|w/o CCS,direct fossil CO2 (non-CCS),2.679,603.3594624860024
ADV_WP5_P240_FullTech,MEA,2010,Gas|w/o CCS,Operation,2.679,20.24884319732292
ADV_WP5_P240_FullTech,MEA,2010,Gas|w/o CCS,upstream CH4,2.679,106.56807347146277
ADV_WP5_P240_FullTech,MEA,2010,Nuclear,Construction,0.03842,2.3732600511233706
ADV_WP5_P240_FullTech,MEA,2010,Nuclear,Operation,0.03842,10.760329094328732
ADV_WP5_P240_FullTech,MEA,2010,Solar|CSP,Construction,4.138e-4,15.250260677500055
ADV_WP5_P240_FullTech,MEA,2010,Solar|CSP,Operation,4.138e-4,0.9061146549428596
ADV_WP5_P240_FullTech,MEA,2010,Solar|PV,Construction,0.002753,40.9649325544583
ADV_WP5_P240_FullTech,MEA,2010,Solar|PV,Operation,0.002753,0.06763385466090868
ADV_WP5_P240_FullTech,MEA,2010,Wind,Construction,0.009776,11.255935415206405
ADV_WP5_P240_FullTech,MEA,2010,Wind,Operation,0.009776,1.152166187275894
ADV_WP5_P240_FullTech,OAS,2010,Biomass|w/o CCS,Construction,0.002727,2.210044396373472
ADV_WP5_P240_FullTech,OAS,2010,Biomass|w/o CCS,Operation,0.002727,40.347298229396486
ADV_WP5_P240_FullTech,OAS,2010,Coal|w/o CCS,Construction,1.54,0.24524473299856228
ADV_WP5_P240_FullTech,OAS,2010,Coal|w/o CCS,direct fossil CO2 (non-CCS),1.54,956.1038961038961
ADV_WP5_P240_FullTech,OAS,2010,Coal|w/o CCS,Operation,1.54,30.871551909363042
ADV_WP5_P240_FullTech,OAS,2010,Coal|w/o CCS,upstream CH4,1.54,45.426484053884245
